index,target,source,flow
2060,10-99999,55-376,5
2061,10-99999,55-99999,9
2062,10-99999,56-99999,2
2063,11-47900,12-300,4
2064,11-47900,12-370,21
2065,11-47900,12-422,5
2066,11-47900,12-45300,3
2067,11-47900,12-99999,3
2068,11-47900,13-122,15
2069,11-47900,13-496,9
2070,11-47900,13-99999,5
2071,11-47900,16-99999,2
2072,11-47900,17-176,42
2073,11-47900,17-476,28
2074,11-47900,17-99999,16
2075,11-47900,18-258,1
2076,11-47900,18-294,10
2077,11-47900,18-99999,4
2078,11-47900,19-99999,6
2079,11-47900,20-312,15
2080,11-47900,20-556,2
2081,11-47900,20-99999,1
2082,11-47900,21-178,59
2083,11-47900,21-350,5
2084,11-47900,21-99999,1
2085,11-47900,22-12940,4
2086,11-47900,22-99999,1
2087,11-47900,23-99999,3
2088,11-47900,25-148,170
2089,11-47900,25-99999,15
2090,11-47900,26-220,57
2091,11-47900,26-266,29
2092,11-47900,26-99999,31
2093,11-47900,27-378,58
2094,11-47900,27-99999,22
2095,11-47900,28-99999,34
2096,11-47900,29-99999,19
2097,11-47900,30-99999,6
2098,11-47900,31-420,16
2099,11-47900,31-99999,12
2100,11-47900,32-332,11
2101,11-47900,32-99999,13
2102,11-47900,33-99999,28
2103,11-47900,35-99999,8
2104,11-47900,36-104,21
2105,11-47900,36-160,63
2106,11-47900,36-464,23
2107,11-47900,36-99999,14
2108,11-47900,37-172,56
2109,11-47900,37-99999,60
2110,11-47900,38-99999,10
2111,11-47900,39-184,3
2112,11-47900,39-198,36
2113,11-47900,39-212,26
2114,11-47900,39-99999,29
2115,11-47900,40-416,10
2116,11-47900,40-538,22
2117,11-47900,40-99999,11
2118,11-47900,41-440,35
2119,11-47900,41-99999,9
2120,11-47900,45-16700,28
2121,11-47900,45-273,49
2122,11-47900,45-99999,89
2123,11-47900,46-99999,22
2124,11-47900,47-314,25
2125,11-47900,47-368,42
2126,11-47900,47-400,48
2127,11-47900,47-99999,31
2128,11-47900,48-12420,20
2129,11-47900,48-13140,3
2130,11-47900,48-204,2
2131,11-47900,48-206,67
2132,11-47900,48-238,18
2133,11-47900,48-288,34
2134,11-47900,48-29700,5
2135,11-47900,48-41700,16
2136,11-47900,48-99999,54
2137,11-47900,49-482,25
2138,11-47900,49-99999,5
2139,11-47900,50-99999,53
2140,11-47900,51-99999,1
2141,11-47900,53-500,78
2142,11-47900,53-99999,24
2143,11-47900,54-99999,5
2144,11-47900,55-376,69
2145,11-47900,55-99999,122
2146,11-47900,56-99999,6
2147,12-300,09-408,326
2148,12-300,10-428,153
2149,12-300,11-47900,45
2150,12-300,12-370,2
2151,12-300,13-122,65
2152,12-300,13-99999,38
2153,12-300,16-99999,13
2154,12-300,17-176,221
2155,12-300,17-476,68
2156,12-300,17-99999,62
2157,12-300,18-258,11
2158,12-300,18-294,78
2159,12-300,18-99999,82
2160,12-300,19-99999,62
2161,12-300,20-312,48
2162,12-300,20-556,18
2163,12-300,20-99999,30
2164,12-300,21-178,104
2165,12-300,21-350,37
2166,12-300,21-99999,97
2167,12-300,22-12940,52
2168,12-300,22-29340,8
2169,12-300,22-406,94
2170,12-300,22-99999,50
2171,12-300,23-99999,45
2172,12-300,24-12580,32
2173,12-300,24-99999,21
2174,12-300,25-148,133
2175,12-300,25-99999,25
2176,12-300,26-220,73
2177,12-300,26-266,38
2178,12-300,26-99999,40
2179,12-300,27-378,56
2180,12-300,27-99999,19
2181,12-300,28-99999,151
2182,12-300,29-99999,32
2183,12-300,30-99999,8
2184,12-300,31-420,12
2185,12-300,31-99999,13
2186,12-300,32-332,6
2187,12-300,32-99999,13
2188,12-300,33-99999,11
2189,12-300,35-99999,21
2190,12-300,36-104,20
2191,12-300,36-160,33
2192,12-300,36-464,25
2193,12-300,36-99999,59
2194,12-300,37-172,85
2195,12-300,37-268,196
2196,12-300,37-450,184
2197,12-300,37-99999,246
2198,12-300,38-99999,7
2199,12-300,39-184,108
2200,12-300,39-198,59
2201,12-300,39-212,24
2202,12-300,39-99999,86
2203,12-300,40-416,15
2204,12-300,40-538,17
2205,12-300,40-99999,15
2206,12-300,41-440,39
2207,12-300,41-99999,9
2208,12-300,42-430,41
2209,12-300,42-99999,137
2210,12-300,45-273,70
2211,12-300,45-99999,3
2212,12-300,46-99999,18
2213,12-300,47-314,72
2214,12-300,47-368,69
2215,12-300,47-400,120
2216,12-300,47-99999,148
2217,12-300,48-12420,27
2218,12-300,48-13140,12
2219,12-300,48-204,6
2220,12-300,48-206,162
2221,12-300,48-238,14
2222,12-300,48-288,230
2223,12-300,48-29700,16
2224,12-300,48-41700,45
2225,12-300,48-99999,77
2226,12-300,49-482,25
2227,12-300,49-99999,6
2228,12-300,50-99999,18
2229,12-300,51-40060,59
2230,12-300,51-545,98
2231,12-300,51-99999,151
2232,12-300,53-500,57
2233,12-300,53-99999,15
2234,12-300,54-99999,38
2235,12-300,55-376,57
2236,12-300,55-99999,97
2237,12-300,56-99999,2
2238,12-370,09-408,1310
2239,12-370,10-428,393
2240,12-370,11-47900,121
2241,12-370,12-370,18
2242,12-370,12-45300,1
2243,12-370,13-122,1096
2244,12-370,13-496,145
2245,12-370,13-99999,511
2246,12-370,16-99999,30
2247,12-370,17-176,644
2248,12-370,17-476,144
2249,12-370,17-99999,173
2250,12-370,18-258,72
2251,12-370,18-294,159
2252,12-370,18-99999,148
2253,12-370,19-99999,135
2254,12-370,20-312,152
2255,12-370,20-556,64
2256,12-370,20-99999,69
2257,12-370,21-178,202
2258,12-370,21-350,102
2259,12-370,21-99999,187
2260,12-370,22-12940,53
2261,12-370,22-29340,8
2262,12-370,22-406,288
2263,12-370,22-99999,109
2264,12-370,23-99999,86
2265,12-370,24-12580,172
2266,12-370,24-99999,59
2267,12-370,25-148,456
2268,12-370,25-99999,83
2269,12-370,26-220,157
2270,12-370,26-266,103
2271,12-370,26-99999,165
2272,12-370,27-378,212
2273,12-370,27-99999,66
2274,12-370,28-99999,205
2275,12-370,29-99999,97
2276,12-370,30-99999,32
2277,12-370,31-420,36
2278,12-370,31-99999,54
2279,12-370,32-332,43
2280,12-370,32-99999,55
2281,12-370,33-99999,42
2282,12-370,35-99999,29
2283,12-370,36-104,70
2284,12-370,36-160,105
2285,12-370,36-464,74
2286,12-370,36-99999,139
2287,12-370,37-172,267
2288,12-370,37-268,235
2289,12-370,37-450,163
2290,12-370,37-99999,289
2291,12-370,38-99999,28
2292,12-370,39-184,221
2293,12-370,39-198,222
2294,12-370,39-212,93
2295,12-370,39-99999,178
2296,12-370,40-416,66
2297,12-370,40-538,74
2298,12-370,40-99999,45
2299,12-370,41-440,78
2300,12-370,41-99999,27
2301,12-370,42-430,103
2302,12-370,42-99999,399
2303,12-370,45-16700,104
2304,12-370,45-273,254
2305,12-370,45-99999,286
2306,12-370,46-99999,57
2307,12-370,47-314,91
2308,12-370,47-368,123
2309,12-370,47-400,201
2310,12-370,47-99999,205
2311,12-370,48-12420,61
2312,12-370,48-13140,19
2313,12-370,48-204,12
2314,12-370,48-206,492
2315,12-370,48-238,50
2316,12-370,48-288,324
2317,12-370,48-29700,37
2318,12-370,48-41700,85
2319,12-370,48-99999,236
2320,12-370,49-482,78
2321,12-370,49-99999,8
2322,12-370,50-99999,39
2323,12-370,51-40060,154
2324,12-370,51-545,161
2325,12-370,51-99999,235
2326,12-370,53-500,117
2327,12-370,53-99999,49
2328,12-370,54-99999,48
2329,12-370,55-376,163
2330,12-370,55-99999,227
2331,12-370,56-99999,15
2332,12-422,09-408,337
2333,12-422,10-428,156
2334,12-422,11-47900,43
2335,12-422,13-122,784
2336,12-422,13-99999,85
2337,12-422,16-99999,11
2338,12-422,17-176,309
2339,12-422,17-476,72
2340,12-422,17-99999,49
2341,12-422,18-258,24
2342,12-422,18-294,62
2343,12-422,18-99999,111
2344,12-422,19-99999,73
2345,12-422,20-312,104
2346,12-422,20-556,18
2347,12-422,20-99999,51
2348,12-422,21-178,84
2349,12-422,21-350,60
2350,12-422,21-99999,106
2351,12-422,22-12940,28
2352,12-422,22-29340,1
2353,12-422,22-406,122
2354,12-422,22-99999,28
2355,12-422,23-99999,35
2356,12-422,24-12580,82
2357,12-422,24-99999,39
2358,12-422,25-148,163
2359,12-422,25-99999,46
2360,12-422,26-220,138
2361,12-422,26-266,51
2362,12-422,26-99999,74
2363,12-422,27-378,98
2364,12-422,27-99999,28
2365,12-422,28-99999,141
2366,12-422,29-99999,80
2367,12-422,30-99999,27
2368,12-422,31-420,25
2369,12-422,31-99999,44
2370,12-422,32-332,29
2371,12-422,32-99999,17
2372,12-422,33-99999,23
2373,12-422,35-99999,27
2374,12-422,36-104,70
2375,12-422,36-160,67
2376,12-422,36-464,45
2377,12-422,36-99999,90
2378,12-422,37-172,157
2379,12-422,37-268,137
2380,12-422,37-450,107
2381,12-422,37-99999,164
2382,12-422,38-99999,17
2383,12-422,39-184,113
2384,12-422,39-198,51
2385,12-422,39-212,40
2386,12-422,39-99999,117
2387,12-422,40-416,48
2388,12-422,40-538,56
2389,12-422,40-99999,21
2390,12-422,41-440,49
2391,12-422,41-99999,20
2392,12-422,42-430,50
2393,12-422,42-99999,201
2394,12-422,45-16700,9
2395,12-422,45-273,148
2396,12-422,45-99999,167
2397,12-422,46-99999,24
2398,12-422,47-314,98
2399,12-422,47-368,80
2400,12-422,47-400,217
2401,12-422,47-99999,111
2402,12-422,48-12420,18
2403,12-422,48-13140,8
2404,12-422,48-204,28
2405,12-422,48-206,263
2406,12-422,48-238,19
2407,12-422,48-288,218
2408,12-422,48-29700,22
2409,12-422,48-41700,63
2410,12-422,48-99999,132
2411,12-422,49-482,36
2412,12-422,49-99999,5
2413,12-422,50-99999,21
2414,12-422,51-40060,74
2415,12-422,51-545,64
2416,12-422,51-99999,91
2417,12-422,53-500,56
2418,12-422,53-99999,18
2419,12-422,54-99999,39
2420,12-422,55-376,74
2421,12-422,55-99999,193
2422,12-422,56-99999,10
2423,12-45300,09-408,400
2424,12-45300,10-428,264
2425,12-45300,11-47900,63
2426,12-45300,13-122,855
2427,12-45300,13-496,4
2428,12-45300,13-99999,134
2429,12-45300,16-99999,3
2430,12-45300,17-176,293
2431,12-45300,17-476,103
2432,12-45300,17-99999,166
2433,12-45300,18-258,83
2434,12-45300,18-294,69
2435,12-45300,18-99999,132
2436,12-45300,19-99999,87
2437,12-45300,20-312,112
2438,12-45300,20-556,32
2439,12-45300,20-99999,48
2440,12-45300,21-178,101
2441,12-45300,21-350,89
2442,12-45300,21-99999,91
2443,12-45300,22-12940,39
2444,12-45300,22-29340,5
2445,12-45300,22-406,163
2446,12-45300,22-99999,69
2447,12-45300,23-99999,34
2448,12-45300,24-12580,76
2449,12-45300,24-99999,39
2450,12-45300,25-148,205
2451,12-45300,25-99999,39
2452,12-45300,26-220,74
2453,12-45300,26-266,55
2454,12-45300,26-99999,72
2455,12-45300,27-378,140
2456,12-45300,27-99999,47
2457,12-45300,28-99999,168
2458,12-45300,29-99999,87
2459,12-45300,30-99999,9
2460,12-45300,31-420,84
2461,12-45300,31-99999,30
2462,12-45300,32-332,34
2463,12-45300,32-99999,19
2464,12-45300,33-99999,11
2465,12-45300,35-99999,21
2466,12-45300,36-104,34
2467,12-45300,36-160,77
2468,12-45300,36-464,31
2469,12-45300,36-99999,72
2470,12-45300,37-172,141
2471,12-45300,37-268,152
2472,12-45300,37-450,110
2473,12-45300,37-99999,208
2474,12-45300,38-99999,7
2475,12-45300,39-184,115
2476,12-45300,39-198,83
2477,12-45300,39-212,47
2478,12-45300,39-99999,93
2479,12-45300,40-416,32
2480,12-45300,40-538,42
2481,12-45300,40-99999,37
2482,12-45300,41-440,47
2483,12-45300,41-99999,15
2484,12-45300,42-430,77
2485,12-45300,42-99999,214
2486,12-45300,45-16700,79
2487,12-45300,45-273,138
2488,12-45300,45-99999,207
2489,12-45300,46-99999,18
2490,12-45300,47-314,102
2491,12-45300,47-368,56
2492,12-45300,47-400,132
2493,12-45300,47-99999,110
2494,12-45300,48-12420,41
2495,12-45300,48-13140,13
2496,12-45300,48-204,8
2497,12-45300,48-206,243
2498,12-45300,48-238,18
2499,12-45300,48-288,191
2500,12-45300,48-29700,6
2501,12-45300,48-41700,51
2502,12-45300,48-99999,107
2503,12-45300,49-482,37
2504,12-45300,49-99999,5
2505,12-45300,50-99999,23
2506,12-45300,51-40060,59
2507,12-45300,51-545,88
2508,12-45300,51-99999,117
2509,12-45300,53-500,46
2510,12-45300,53-99999,30
2511,12-45300,54-99999,63
2512,12-45300,55-376,72
2513,12-45300,55-99999,112
2514,12-45300,56-99999,12
2515,12-99999,09-408,621
2516,12-99999,10-428,216
2517,12-99999,11-47900,84
2518,12-99999,13-122,730
2519,12-99999,13-496,58
2520,12-99999,13-99999,224
2521,12-99999,16-99999,43
2522,12-99999,17-176,362
2523,12-99999,17-476,142
2524,12-99999,17-99999,98
2525,12-99999,18-258,70
2526,12-99999,18-294,91
2527,12-99999,18-99999,151
2528,12-99999,19-99999,137
2529,12-99999,20-312,164
2530,12-99999,20-556,56
2531,12-99999,20-99999,76
2532,12-99999,21-178,146
2533,12-99999,21-350,127
2534,12-99999,21-99999,160
2535,12-99999,22-12940,40
2536,12-99999,22-29340,8
2537,12-99999,22-406,139
2538,12-99999,22-99999,73
2539,12-99999,23-99999,31
2540,12-99999,24-12580,125
2541,12-99999,24-99999,83
2542,12-99999,25-148,335
2543,12-99999,25-99999,59
2544,12-99999,26-220,229
2545,12-99999,26-266,71
2546,12-99999,26-99999,85
2547,12-99999,27-378,112
2548,12-99999,27-99999,76
2549,12-99999,28-99999,261
2550,12-99999,29-99999,115
2551,12-99999,30-99999,30
2552,12-99999,31-420,45
2553,12-99999,31-99999,43
2554,12-99999,32-332,33
2555,12-99999,32-99999,10
2556,12-99999,33-99999,35
2557,12-99999,35-99999,45
2558,12-99999,36-104,45
2559,12-99999,36-160,84
2560,12-99999,36-464,92
2561,12-99999,36-99999,131
2562,12-99999,37-172,234
2563,12-99999,37-268,220
2564,12-99999,37-450,144
2565,12-99999,37-99999,303
2566,12-99999,38-99999,18
2567,12-99999,39-184,242
2568,12-99999,39-198,118
2569,12-99999,39-212,63
2570,12-99999,39-99999,203
2571,12-99999,40-416,44
2572,12-99999,40-538,52
2573,12-99999,40-99999,65
2574,12-99999,41-440,79
2575,12-99999,41-99999,46
2576,12-99999,42-430,73
2577,12-99999,42-99999,335
2578,12-99999,45-16700,84
2579,12-99999,45-273,362
2580,12-99999,45-99999,261
2581,12-99999,46-99999,47
2582,12-99999,47-314,133
2583,12-99999,47-368,163
2584,12-99999,47-400,203
2585,12-99999,47-99999,172
2586,12-99999,48-12420,54
2587,12-99999,48-13140,17
2588,12-99999,48-204,26
2589,12-99999,48-206,312
2590,12-99999,48-238,18
2591,12-99999,48-288,338
2592,12-99999,48-29700,23
2593,12-99999,48-41700,70
2594,12-99999,48-99999,288
2595,12-99999,49-482,57
2596,12-99999,49-99999,17
2597,12-99999,50-99999,30
2598,12-99999,51-40060,105
2599,12-99999,51-545,82
2600,12-99999,51-99999,241
2601,12-99999,53-500,72
2602,12-99999,53-99999,40
2603,12-99999,54-99999,91
2604,12-99999,55-376,131
2605,12-99999,55-99999,232
2606,12-99999,56-99999,12
2607,13-122,09-408,1608
2608,13-122,10-428,759
2609,13-122,11-47900,326
2610,13-122,16-99999,101
2611,13-122,17-176,1683
2612,13-122,17-476,446
2613,13-122,17-99999,560
2614,13-122,18-258,202
2615,13-122,18-294,495
2616,13-122,18-99999,670
2617,13-122,19-99999,491
2618,13-122,20-312,382
2619,13-122,20-556,186
2620,13-122,20-99999,159
2621,13-122,21-178,490
2622,13-122,21-350,346
2623,13-122,21-99999,252
2624,13-122,22-12940,151
2625,13-122,22-29340,91
2626,13-122,22-406,448
2627,13-122,22-99999,304
2628,13-122,23-99999,163
2629,13-122,24-12580,353
2630,13-122,24-99999,157
2631,13-122,25-148,609
2632,13-122,25-99999,140
2633,13-122,26-220,537
2634,13-122,26-266,310
2635,13-122,26-99999,397
2636,13-122,27-378,467
2637,13-122,27-99999,178
2638,13-122,28-99999,475
2639,13-122,29-99999,447
2640,13-122,30-99999,91
2641,13-122,31-420,100
2642,13-122,31-99999,230
2643,13-122,32-332,62
2644,13-122,32-99999,80
2645,13-122,33-99999,62
2646,13-122,35-99999,105
2647,13-122,36-104,240
2648,13-122,36-160,350
2649,13-122,36-464,199
2650,13-122,36-99999,369
2651,13-122,37-268,10
2652,13-122,37-450,505
2653,13-122,37-99999,823
2654,13-122,38-99999,70
2655,13-122,39-184,575
2656,13-122,39-198,559
2657,13-122,39-212,257
2658,13-122,39-99999,612
2659,13-122,40-416,182
2660,13-122,40-538,189
2661,13-122,40-99999,176
2662,13-122,41-440,170
2663,13-122,41-99999,71
2664,13-122,42-430,292
2665,13-122,42-99999,877
2666,13-122,45-99999,2
2667,13-122,46-99999,74
2668,13-122,47-368,503
2669,13-122,47-99999,116
2670,13-122,48-12420,145
2671,13-122,48-13140,57
2672,13-122,48-204,41
2673,13-122,48-206,996
2674,13-122,48-238,80
2675,13-122,48-288,742
2676,13-122,48-29700,132
2677,13-122,48-41700,196
2678,13-122,48-99999,804
2679,13-122,49-482,161
2680,13-122,49-99999,13
2681,13-122,50-99999,126
2682,13-122,51-40060,373
2683,13-122,51-545,274
2684,13-122,51-99999,638
2685,13-122,53-500,233
2686,13-122,53-99999,120
2687,13-122,54-99999,279
2688,13-122,55-376,439
2689,13-122,55-99999,803
2690,13-122,56-99999,42
2691,13-496,09-408,122
2692,13-496,10-428,58
2693,13-496,11-47900,24
2694,13-496,16-99999,4
2695,13-496,17-176,83
2696,13-496,17-476,54
2697,13-496,17-99999,31
2698,13-496,18-258,3
2699,13-496,18-294,52
2700,13-496,18-99999,36
2701,13-496,19-99999,52
2702,13-496,20-312,25
2703,13-496,20-556,14
2704,13-496,20-99999,10
2705,13-496,21-178,30
2706,13-496,21-350,44
2707,13-496,21-99999,80
2708,13-496,22-12940,10
2709,13-496,22-29340,4
2710,13-496,22-406,46
2711,13-496,22-99999,28
2712,13-496,23-99999,8
2713,13-496,24-12580,8
2714,13-496,24-99999,9
2715,13-496,25-148,33
2716,13-496,25-99999,21
2717,13-496,26-220,37
2718,13-496,26-266,18
2719,13-496,26-99999,22
2720,13-496,27-378,28
2721,13-496,27-99999,8
2722,13-496,28-99999,93
2723,13-496,29-99999,41
2724,13-496,30-99999,7
2725,13-496,31-420,3
2726,13-496,31-99999,9
2727,13-496,32-332,19
2728,13-496,32-99999,11
2729,13-496,33-99999,2
2730,13-496,35-99999,8
2731,13-496,36-104,29
2732,13-496,36-160,14
2733,13-496,36-464,5
2734,13-496,36-99999,31
2735,13-496,37-99999,13
2736,13-496,38-99999,22
2737,13-496,39-184,53
2738,13-496,39-198,72
2739,13-496,39-212,20
2740,13-496,39-99999,28
2741,13-496,40-416,12
2742,13-496,40-538,19
2743,13-496,40-99999,20
2744,13-496,41-440,17
2745,13-496,41-99999,4
2746,13-496,42-430,21
2747,13-496,42-99999,65
2748,13-496,46-99999,5
2749,13-496,47-314,31
2750,13-496,47-368,19
2751,13-496,47-400,71
2752,13-496,47-99999,35
2753,13-496,48-12420,9
2754,13-496,48-13140,6
2755,13-496,48-204,4
2756,13-496,48-206,65
2757,13-496,48-238,4
2758,13-496,48-288,93
2759,13-496,48-29700,13
2760,13-496,48-41700,14
2761,13-496,48-99999,61
2762,13-496,49-482,12
2763,13-496,49-99999,15
2764,13-496,50-99999,6
2765,13-496,51-40060,39
2766,13-496,51-545,35
2767,13-496,51-99999,74
2768,13-496,53-500,23
2769,13-496,53-99999,15
2770,13-496,54-99999,22
2771,13-496,55-376,31
2772,13-496,55-99999,69
2773,13-496,56-99999,6
2774,13-99999,09-408,598
2775,13-99999,10-428,289
2776,13-99999,11-47900,149
2777,13-99999,16-99999,28
2778,13-99999,17-176,487
2779,13-99999,17-476,161
2780,13-99999,17-99999,187
2781,13-99999,18-258,87
2782,13-99999,18-294,180
2783,13-99999,18-99999,195
2784,13-99999,19-99999,223
2785,13-99999,20-312,284
2786,13-99999,20-556,60
2787,13-99999,20-99999,123
2788,13-99999,21-178,218
2789,13-99999,21-350,164
2790,13-99999,21-99999,226
2791,13-99999,22-12940,76
2792,13-99999,22-29340,12
2793,13-99999,22-406,317
2794,13-99999,22-99999,161
2795,13-99999,23-99999,43
2796,13-99999,24-12580,133
2797,13-99999,24-99999,115
2798,13-99999,25-148,228
2799,13-99999,25-99999,33
2800,13-99999,26-220,267
2801,13-99999,26-266,90
2802,13-99999,26-99999,179
2803,13-99999,27-378,149
2804,13-99999,27-99999,83
2805,13-99999,28-99999,331
2806,13-99999,29-99999,175
2807,13-99999,30-99999,52
2808,13-99999,31-420,66
2809,13-99999,31-99999,67
2810,13-99999,32-332,10
2811,13-99999,32-99999,25
2812,13-99999,33-99999,26
2813,13-99999,35-99999,28
2814,13-99999,36-104,64
2815,13-99999,36-160,137
2816,13-99999,36-464,56
2817,13-99999,36-99999,141
2818,13-99999,37-172,103
2819,13-99999,37-268,156
2820,13-99999,37-450,148
2821,13-99999,37-99999,266
2822,13-99999,38-99999,36
2823,13-99999,39-184,248
2824,13-99999,39-198,207
2825,13-99999,39-212,105
2826,13-99999,39-99999,282
2827,13-99999,40-416,86
2828,13-99999,40-538,57
2829,13-99999,40-99999,60
2830,13-99999,41-440,97
2831,13-99999,41-99999,25
2832,13-99999,42-430,105
2833,13-99999,42-99999,415
2834,13-99999,45-16700,18
2835,13-99999,45-273,20
2836,13-99999,45-99999,210
2837,13-99999,46-99999,40
2838,13-99999,47-314,45
2839,13-99999,47-368,178
2840,13-99999,47-400,125
2841,13-99999,47-99999,157
2842,13-99999,48-12420,28
2843,13-99999,48-13140,35
2844,13-99999,48-204,21
2845,13-99999,48-206,397
2846,13-99999,48-238,40
2847,13-99999,48-288,318
2848,13-99999,48-29700,104
2849,13-99999,48-41700,88
2850,13-99999,48-99999,477
2851,13-99999,49-482,52
2852,13-99999,49-99999,4
2853,13-99999,50-99999,40
2854,13-99999,51-40060,131
2855,13-99999,51-545,159
2856,13-99999,51-99999,249
2857,13-99999,53-500,63
2858,13-99999,53-99999,39
2859,13-99999,54-99999,136
2860,13-99999,55-376,159
2861,13-99999,55-99999,219
2862,13-99999,56-99999,18
2863,16-99999,09-408,158
2864,16-99999,10-428,49
2865,16-99999,11-47900,21
2866,16-99999,17-176,179
2867,16-99999,17-476,55
2868,16-99999,17-99999,70
2869,16-99999,18-258,18
2870,16-99999,18-294,36
2871,16-99999,18-99999,80
2872,16-99999,19-99999,124
2873,16-99999,20-312,111
2874,16-99999,20-556,18
2875,16-99999,20-99999,35
2876,16-99999,21-178,31
2877,16-99999,21-350,39
2878,16-99999,21-99999,46
2879,16-99999,22-12940,5
2880,16-99999,22-29340,1
2881,16-99999,22-406,53
2882,16-99999,22-99999,13
2883,16-99999,23-99999,23
2884,16-99999,24-12580,24
2885,16-99999,24-99999,9
2886,16-99999,25-148,81
2887,16-99999,25-99999,11
2888,16-99999,26-220,60
2889,16-99999,26-266,36
2890,16-99999,26-99999,28
2891,16-99999,27-378,114
2892,16-99999,27-99999,62
2893,16-99999,28-99999,43
2894,16-99999,29-99999,88
2895,16-99999,30-99999,353
2896,16-99999,31-420,45
2897,16-99999,31-99999,52
2898,16-99999,32-332,115
2899,16-99999,32-99999,149
2900,16-99999,33-99999,11
2901,16-99999,35-99999,50
2902,16-99999,36-104,14
2903,16-99999,36-160,46
2904,16-99999,36-464,11
2905,16-99999,36-99999,30
2906,16-99999,37-172,33
2907,16-99999,37-268,22
2908,16-99999,37-450,19
2909,16-99999,37-99999,36
2910,16-99999,38-99999,109
2911,16-99999,39-184,84
2912,16-99999,39-198,32
2913,16-99999,39-212,27
2914,16-99999,39-99999,40
2915,16-99999,40-416,57
2916,16-99999,40-538,18
2917,16-99999,40-99999,19
2918,16-99999,41-440,909
2919,16-99999,41-99999,227
2920,16-99999,42-430,34
2921,16-99999,42-99999,73
2922,16-99999,45-16700,5
2923,16-99999,45-273,24
2924,16-99999,45-99999,20
2925,16-99999,46-99999,38
2926,16-99999,47-314,21
2927,16-99999,47-368,29
2928,16-99999,47-400,39
2929,16-99999,47-99999,48
2930,16-99999,48-12420,23
2931,16-99999,48-13140,5
2932,16-99999,48-204,7
2933,16-99999,48-206,128
2934,16-99999,48-238,10
2935,16-99999,48-288,62
2936,16-99999,48-29700,3
2937,16-99999,48-41700,13
2938,16-99999,48-99999,80
2939,16-99999,49-482,126
2940,16-99999,49-99999,59
2941,16-99999,50-99999,14
2942,16-99999,51-40060,9
2943,16-99999,51-545,8
2944,16-99999,51-99999,42
2945,16-99999,53-500,450
2946,16-99999,53-99999,433
2947,16-99999,54-99999,11
2948,16-99999,55-376,54
2949,16-99999,55-99999,165
2950,16-99999,56-99999,101
2951,17-176,09-408,2832
2952,17-176,10-428,1394
2953,17-176,11-47900,394
2954,17-176,18-99999,10
2955,17-176,19-99999,660
2956,17-176,20-312,1109
2957,17-176,20-556,256
2958,17-176,20-99999,422
2959,17-176,21-350,3
2960,17-176,21-99999,730
2961,17-176,22-12940,104
2962,17-176,22-29340,40
2963,17-176,22-406,296
2964,17-176,22-99999,210
2965,17-176,23-99999,274
2966,17-176,24-12580,464
2967,17-176,24-99999,204
2968,17-176,25-148,1269
2969,17-176,25-99999,287
2970,17-176,26-220,6
2971,17-176,26-99999,166
2972,17-176,27-378,1763
2973,17-176,27-99999,589
2974,17-176,28-99999,664
2975,17-176,29-99999,801
2976,17-176,30-99999,228
2977,17-176,31-420,420
2978,17-176,31-99999,543
2979,17-176,32-332,166
2980,17-176,32-99999,157
2981,17-176,33-99999,132
2982,17-176,35-99999,160
2983,17-176,36-104,216
2984,17-176,36-160,824
2985,17-176,36-464,297
2986,17-176,36-99999,880
2987,17-176,37-172,596
2988,17-176,37-268,591
2989,17-176,37-450,283
2990,17-176,37-99999,826
2991,17-176,38-99999,305
2992,17-176,39-184,350
2993,17-176,39-198,368
2994,17-176,39-99999,363
2995,17-176,40-416,248
2996,17-176,40-538,293
2997,17-176,40-99999,276
2998,17-176,41-440,390
2999,17-176,41-99999,154
3000,17-176,42-430,972
3001,17-176,42-99999,1624
3002,17-176,45-16700,128
3003,17-176,45-273,510
3004,17-176,45-99999,567
3005,17-176,46-99999,367
3006,17-176,47-314,258
3007,17-176,47-368,523
3008,17-176,47-400,747
3009,17-176,47-99999,852
3010,17-176,48-12420,133
3011,17-176,48-13140,98
3012,17-176,48-204,72
3013,17-176,48-206,1178
3014,17-176,48-238,239
3015,17-176,48-288,864
3016,17-176,48-29700,246
3017,17-176,48-41700,217
3018,17-176,48-99999,995
3019,17-176,49-482,355
3020,17-176,49-99999,35
3021,17-176,50-99999,206
3022,17-176,51-40060,243
3023,17-176,51-545,250
3024,17-176,51-99999,561
3025,17-176,53-500,455
3026,17-176,53-99999,209
3027,17-176,54-99999,526
3028,17-176,55-99999,88
3029,17-176,56-99999,68
3030,17-476,09-408,603
3031,17-476,10-428,299
3032,17-476,11-47900,56
3033,17-476,18-258,9
3034,17-476,19-99999,69
3035,17-476,20-556,33
3036,17-476,20-99999,55
3037,17-476,21-178,26
3038,17-476,21-99999,28
3039,17-476,22-12940,22
3040,17-476,22-29340,5
3041,17-476,22-406,53
3042,17-476,22-99999,56
3043,17-476,23-99999,10
3044,17-476,24-12580,13
3045,17-476,24-99999,12
3046,17-476,25-148,149
3047,17-476,25-99999,4
3048,17-476,26-220,176
3049,17-476,26-266,44
3050,17-476,26-99999,70
3051,17-476,27-378,102
3052,17-476,27-99999,55
3053,17-476,28-99999,60
3054,17-476,30-99999,69
3055,17-476,31-420,129
3056,17-476,31-99999,230
3057,17-476,32-332,25
3058,17-476,32-99999,41
