index,target,source,flow
464,04-38060,42-430,38
465,04-38060,42-99999,192
466,04-38060,45-16700,24
467,04-38060,45-273,62
468,04-38060,45-99999,53
469,04-38060,46-99999,37
470,04-38060,47-314,30
471,04-38060,47-368,68
472,04-38060,47-400,60
473,04-38060,47-99999,41
474,04-38060,48-12420,132
475,04-38060,48-13140,7
476,04-38060,48-204,6
477,04-38060,48-206,397
478,04-38060,48-238,313
479,04-38060,48-288,219
480,04-38060,48-29700,32
481,04-38060,48-41700,89
482,04-38060,48-99999,382
483,04-38060,49-482,485
484,04-38060,49-99999,213
485,04-38060,50-99999,37
486,04-38060,51-40060,40
487,04-38060,51-545,41
488,04-38060,51-99999,78
489,04-38060,53-500,287
490,04-38060,53-99999,128
491,04-38060,54-99999,31
492,04-38060,55-376,103
493,04-38060,55-99999,211
494,04-38060,56-99999,42
495,04-536,05-99999,28
496,04-536,06-260,34
497,04-536,06-348,589
498,04-536,06-41740,87
499,04-536,06-472,45
500,04-536,06-488,140
501,04-536,06-99999,91
502,04-536,08-216,63
503,04-536,08-99999,34
504,04-536,09-25540,7
505,04-536,09-408,138
506,04-536,09-99999,14
507,04-536,10-428,38
508,04-536,11-47900,14
509,04-536,12-300,6
510,04-536,12-370,42
511,04-536,12-422,5
512,04-536,12-45300,14
513,04-536,12-99999,14
514,04-536,13-122,78
515,04-536,13-496,2
516,04-536,13-99999,23
517,04-536,16-99999,23
518,04-536,17-176,97
519,04-536,17-476,63
520,04-536,17-99999,29
521,04-536,18-258,16
522,04-536,18-294,44
523,04-536,18-99999,49
524,04-536,19-99999,31
525,04-536,20-312,36
526,04-536,20-556,17
527,04-536,20-99999,34
528,04-536,21-178,27
529,04-536,21-350,15
530,04-536,21-99999,34
531,04-536,22-12940,6
532,04-536,22-29340,1
533,04-536,22-406,36
534,04-536,22-99999,4
535,04-536,23-99999,12
536,04-536,24-12580,19
537,04-536,24-99999,13
538,04-536,25-148,101
539,04-536,25-99999,24
540,04-536,26-220,93
541,04-536,26-266,38
542,04-536,26-99999,49
543,04-536,27-378,66
544,04-536,27-99999,41
545,04-536,28-99999,25
546,04-536,29-99999,30
547,04-536,30-99999,54
548,04-536,31-420,13
549,04-536,31-99999,23
550,04-536,32-332,38
551,04-536,32-99999,68
552,04-536,33-99999,11
553,04-536,35-99999,57
554,04-536,36-104,11
555,04-536,36-160,43
556,04-536,36-464,13
557,04-536,36-99999,22
558,04-536,37-172,15
559,04-536,37-268,19
560,04-536,37-450,22
561,04-536,37-99999,35
562,04-536,38-99999,7
563,04-536,39-184,44
564,04-536,39-198,36
565,04-536,39-212,10
566,04-536,39-99999,67
567,04-536,40-416,10
568,04-536,40-538,12
569,04-536,40-99999,10
570,04-536,41-440,89
571,04-536,41-99999,14
572,04-536,42-430,22
573,04-536,42-99999,53
574,04-536,45-16700,8
575,04-536,45-273,52
576,04-536,45-99999,16
577,04-536,46-99999,18
578,04-536,47-314,14
579,04-536,47-368,11
580,04-536,47-400,14
581,04-536,47-99999,30
582,04-536,48-12420,20
583,04-536,48-13140,5
584,04-536,48-204,2
585,04-536,48-206,158
586,04-536,48-288,95
587,04-536,48-29700,54
588,04-536,48-41700,20
589,04-536,48-99999,196
590,04-536,49-482,139
591,04-536,49-99999,5
592,04-536,50-99999,58
593,04-536,51-40060,5
594,04-536,51-545,7
595,04-536,51-99999,10
596,04-536,53-500,44
597,04-536,53-99999,13
598,04-536,54-99999,23
599,04-536,55-376,36
600,04-536,55-99999,50
601,04-536,56-99999,13
602,04-99999,05-99999,16
603,04-99999,06-260,82
604,04-99999,06-348,362
605,04-99999,06-41740,59
606,04-99999,06-472,76
607,04-99999,06-488,270
608,04-99999,06-99999,177
609,04-99999,08-216,132
610,04-99999,08-99999,109
611,04-99999,09-25540,12
612,04-99999,09-408,75
613,04-99999,09-99999,19
614,04-99999,10-428,37
615,04-99999,10-99999,1
616,04-99999,11-47900,4
617,04-99999,12-300,4
618,04-99999,12-370,23
619,04-99999,12-422,11
620,04-99999,12-45300,8
621,04-99999,12-99999,8
622,04-99999,13-122,27
623,04-99999,13-496,1
624,04-99999,13-99999,13
625,04-99999,16-99999,66
626,04-99999,17-176,84
627,04-99999,17-476,37
628,04-99999,17-99999,27
629,04-99999,18-258,7
630,04-99999,18-294,11
631,04-99999,18-99999,11
632,04-99999,19-99999,35
633,04-99999,20-312,72
634,04-99999,20-556,9
635,04-99999,20-99999,14
636,04-99999,21-178,18
637,04-99999,21-350,12
638,04-99999,21-99999,16
639,04-99999,22-12940,9
640,04-99999,22-406,13
641,04-99999,22-99999,13
642,04-99999,23-99999,12
643,04-99999,24-12580,18
644,04-99999,24-99999,3
645,04-99999,25-148,34
646,04-99999,25-99999,14
647,04-99999,26-220,12
648,04-99999,26-266,7
649,04-99999,26-99999,22
650,04-99999,27-378,32
651,04-99999,27-99999,7
652,04-99999,28-99999,24
653,04-99999,29-99999,25
654,04-99999,30-99999,42
655,04-99999,31-420,6
656,04-99999,31-99999,11
657,04-99999,32-332,9
658,04-99999,32-99999,89
659,04-99999,33-99999,6
660,04-99999,35-99999,111
661,04-99999,36-104,5
662,04-99999,36-160,10
663,04-99999,36-464,14
664,04-99999,36-99999,10
665,04-99999,37-172,11
666,04-99999,37-268,14
667,04-99999,37-450,17
668,04-99999,37-99999,12
669,04-99999,38-99999,5
670,04-99999,39-184,18
671,04-99999,39-198,9
672,04-99999,39-212,16
673,04-99999,39-99999,30
674,04-99999,40-416,20
675,04-99999,40-538,10
676,04-99999,40-99999,23
677,04-99999,41-440,124
678,04-99999,41-99999,55
679,04-99999,42-430,10
680,04-99999,42-99999,49
681,04-99999,45-16700,5
682,04-99999,45-273,12
683,04-99999,45-99999,19
684,04-99999,46-99999,7
685,04-99999,47-314,11
686,04-99999,47-368,13
687,04-99999,47-400,22
688,04-99999,47-99999,53
689,04-99999,48-12420,24
690,04-99999,48-13140,3
691,04-99999,48-204,4
692,04-99999,48-206,77
693,04-99999,48-238,47
694,04-99999,48-288,93
695,04-99999,48-29700,41
696,04-99999,48-41700,34
697,04-99999,48-99999,122
698,04-99999,49-482,122
699,04-99999,49-99999,10
700,04-99999,50-99999,7
701,04-99999,51-40060,10
702,04-99999,51-545,4
703,04-99999,51-99999,14
704,04-99999,53-500,76
705,04-99999,53-99999,53
706,04-99999,54-99999,25
707,04-99999,55-376,26
708,04-99999,55-99999,39
709,04-99999,56-99999,39
710,05-99999,06-260,34
711,05-99999,06-348,510
712,05-99999,06-41740,73
713,05-99999,06-472,23
714,05-99999,06-488,130
715,05-99999,06-99999,67
716,05-99999,08-216,146
717,05-99999,08-99999,75
718,05-99999,09-25540,30
719,05-99999,09-408,622
720,05-99999,09-99999,8
721,05-99999,10-428,259
722,05-99999,10-99999,18
723,05-99999,11-47900,58
724,05-99999,12-300,73
725,05-99999,12-370,152
726,05-99999,12-422,86
727,05-99999,12-45300,79
728,05-99999,12-99999,155
729,05-99999,13-122,601
730,05-99999,13-496,39
731,05-99999,13-99999,231
732,05-99999,16-99999,34
733,05-99999,17-176,787
734,05-99999,17-476,333
735,05-99999,17-99999,266
736,05-99999,18-258,78
737,05-99999,18-294,211
738,05-99999,18-99999,262
739,05-99999,19-99999,369
740,05-99999,20-312,338
741,05-99999,20-556,77
742,05-99999,20-99999,197
743,05-99999,21-178,177
744,05-99999,21-350,161
745,05-99999,21-99999,225
746,05-99999,22-12940,73
747,05-99999,22-29340,37
748,05-99999,22-406,143
749,05-99999,22-99999,118
750,05-99999,23-99999,44
751,05-99999,24-12580,81
752,05-99999,24-99999,32
753,05-99999,25-148,204
754,05-99999,25-99999,27
755,05-99999,26-220,242
756,05-99999,26-266,110
757,05-99999,26-99999,184
758,05-99999,27-378,229
759,05-99999,27-99999,123
760,05-99999,28-99999,203
761,05-99999,29-99999,174
762,05-99999,30-99999,62
763,05-99999,31-420,82
764,05-99999,31-99999,187
765,05-99999,32-332,33
766,05-99999,32-99999,26
767,05-99999,33-99999,16
768,05-99999,35-99999,46
769,05-99999,36-104,53
770,05-99999,36-160,115
